X,Y,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LON,BSTP_LAT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,WARD_ID,ANC_ID,SMD_ID,ROUTEID,MEASURE,OFFSET,BLOCKKEY,BLOCKFACEKEY,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,SNOWPRIORITY
-76.9643862647204,38.8533857812689,1309959,1000246,2935,PRS,1946/09/01 00:00:00+00,UNK,#3041,NAYLOR RD SE,141,ATP,600' S OF 30TH ST,NAYLOR RD SE + #3041,-76.964384,38.853378,,KFH,2006/05/02 00:00:00+00,-9,UNK,UNKW,N,N,N,N,58U,CON,NON,Y,N,E,8,N,Y,N,NON,UNK,-9,N,N,U,N,N,N,U,U,N,N,N,NSG,-9,N,N,U,N,U,U,U,U,8,ANC 8B,8B05,13063502,2467.69995117188,3,16aeb242dad9583d70c2709f89ba184a,c849702bdeb8a4e374d748d250700d1e,BusStopPt_8445,,{F4C8635F-1DDE-46FF-B6F6-DDF7D0D56721},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,29565,
-76.9791602772677,38.8852317894187,1308122,1000674,4750,PRS,1970/06/11 00:00:00+00,REV,18TH ST SE,MASSACHUSETTS AVE SE,119,NEA,UNKNOWN,MASSACHUSETTS AVE SE + 18TH ST SE,-76.979158,38.885224,,KFH,2006/05/31 00:00:00+00,0,UNK,WMAT,N,Y,N,N,<58,CON,NON,Y,Y,U,6,N,Y,N,LSC,UNK,5.5999999,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,NSG,-9,N,Y,U,N,U,U,U,U,7,ANC 6B,6B09,13001802,507.799987792969,3,dc4b66f81db2c07a1dd038c74ad67a7d,d27880d0fbf4f362c82f5c36732c0bdb,BusStopPt_8446,,{A9A50CC7-7A5F-432D-9D69-8342ADDA5EC1},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,29566,
-77.0211152904995,38.9472147943523,1302209,1002472,8373,PRS,1901/01/01 00:00:00+00,REV,CRITTENDEN ST NW,SHERMAN CIR NW,15,NEA,UNKNOWN,SHERMAN CIR NW + CRITTENDEN ST NW,-77.021113,38.947207,,KFH,2006/03/27 00:00:00+00,0,UNK,UNKW,N,N,N,N,<58,CON,NON,Y,N,E,6,N,Y,N,NON,UNK,-9,N,N,Y,N,Y,N,Y,N,N,N,N,NSG,-9,N,Y,U,N,U,U,U,U,4,ANC 4C,4C09,11080142,81.5999984741211,3,3bbf7f20775cc0fa6f83b228773af86f,01c55a3cb6786c093c2dd7b83dd18e75,BusStopPt_8447,,{1D306085-E333-45D0-A94D-056BA710F40D},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,29567,
-77.0083472819173,38.8207377733085,1306763,1000008,1400,PRS,1901/01/01 00:00:00+00,UNK,IVANHOE ST SW,IRVINGTON ST SW,80,NEX,UNKNOWN,IRVINGTON ST SW + IVANHOE ST SW,-77.008345,38.82073,,KFH,2006/04/11 00:00:00+00,-9,UNK,UNKW,N,Y,N,Y,58U,CON,NON,Y,N,E,4,N,Y,Y,NON,SLP,-9,N,N,U,Y,Y,N,Y,U,N,N,N,NSG,-9,N,Y,U,U,U,U,U,U,8,ANC 8D,8D02,14048812,133.600006103516,-3,06eb7eff3c9d1d467f7ce10c8dc6fcde,7eab56a1c6f21c4775da35e669fc100e,BusStopPt_8448,,{E321E441-6A47-46EE-8E00-01938225BF5C},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,29568,YES
-76.9297572600083,38.908733790198,1301383,1003310,13780,PRS,2002/06/18 00:00:00+00,REV,QUARLES ST NE,EASTERN AVE NE,135,NEA,UNKNOWN,EASTERN AVE NE + QUARLES ST NE,-76.929755,38.908726,,KFH,2006/06/22 00:00:00+00,0,UNK,UNKW,N,N,N,N,58U,CON,NON,Y,N,E,4,N,Y,N,LSC,UNK,5.69999981,N,N,Y,N,N,N,Y,N,N,N,N,YUN,-9,U,N,U,N,U,U,U,U,7,ANC 7C,7C07,12031982,2488.80004882812,-3,59470dca8c5785e421da848549f774cb,f2a3e3a1a0ba087744d86063b7740e69,BusStopPt_8449,,{5567E20A-F046-4C37-8CF4-E618498649AD},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,29569,
-76.9385582612087,38.8896197861161,1301376,1003195,13519,PRS,1998/03/27 00:00:00+00,REV,TEXAS AVE SE,E CAPITOL ST SE,90,NEA,@ HYDRANT,E CAPITOL ST SE + TEXAS AVE SE,-76.938556,38.889612,,KFH,2006/06/14 00:00:00+00,0,UNK,WMAT,N,Y,N,N,SWK,CON,NON,N,N,E,4,N,N,N,NON,UNK,8.39999962,N,N,Y,N,N,N,Y,U,Y,N,Y,NPL,-9,U,Y,U,N,U,U,U,U,7,ANC 7F,7F02,15031912,5639.2998046875,3,dad8b0aa5fefa91bc1051c1c13055159,82b99244eedc423266c335ac35a232a3,BusStopPt_8450,,{58DAE87E-3A2F-429F-9F5D-91D0A3F4148C},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,29570,YES
-76.9959127249396,38.9205420062567,1302176,1003275,19308,PRS,1977/07/05 00:00:00+00,UNK,BUS BAY A,RHODE ISLAND AVE STATION,198,MID,UNKNOWN,RHODE ISLAND AVE STATION + BUS BAY A,-76.99591,38.920534,TMP,KFH,2006/12/11 00:00:00+00,-9,UNK,UNKW,N,Y,N,Y,58U,CON,NON,Y,N,E,11,Y,Y,N,NON,UNK,-9,Y,Y,Y,Y,U,U,U,U,Y,N,N,NPL,-9,U,Y,Y,Y,U,U,U,U,5,ANC 5C,5C05,58023472,362.799987792969,-3,,d72f081cbd5c3552a5bc9cdf85437729,BusStopPt_8451,,{1B8508FB-87B4-4518-A9FC-5E995B27685A},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,29571,
-77.0805393140617,38.9647638014904,1309514,1002722,19413,PRS,1943/05/09 00:00:00+00,REV,41ST ST NW,WESTERN AVE NW,45,NEA,UNKNOWN,WESTERN AVE NW + 41ST ST NW,-77.080537,38.964756,,KFH,2009/05/20 00:00:00+00,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,6,N,Y,N,NON,UNK,6.69999981,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,-9,N,Y,U,Y,U,U,U,U,3,ANC 3E,3E04,11092692,2452.39990234375,3,4582a7f5e28e79a23cc8d9613c2b0545,25104fa78bae740619575c3b6ef6e7e8,BusStopPt_8452,,{839948B2-9193-4090-863A-D7855BAA526F},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,29572,
-76.9691252735865,38.8474867753067,1309579,1002998,12558,PRS,1948/02/29 00:00:00+00,UNK,#3417,25TH ST SE,177,MID,FRT,25TH ST SE + #3417,-76.969123,38.847479,,KFH,2006/05/02 00:00:00+00,-9,UNK,UNKW,N,N,N,N,58U,ASP,NON,Y,N,E,4,N,Y,N,NON,UPV,-9,N,N,U,N,N,N,U,U,N,N,N,YUN,-9,U,N,U,N,U,U,U,U,8,ANC 8B,8B06,13002502,1218.59997558594,3,0d88570b904b591a2757c7e1b2f04d54,dde0f7bf07c90f08bd5668382b188df9,BusStopPt_8453,,{CF7199FD-0785-48F6-886C-7AB560E807A6},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,29573,
-77.0316742881545,38.8956507828324,1307596,1000993,16684,PRS,1901/01/01 00:00:00+00,UNK,14TH ST NW,PENNSYLVANIA AVE NW,270,NEA,UNKNOWN,PENNSYLVANIA AVE NW + 14TH ST NW,-77.031672,38.895643,,KFH,2006/06/09 00:00:00+00,-9,UNK,UNKW,N,U,U,U,UNK,UNK,UNK,U,U,U,0,U,U,U,UNK,UNK,-9,U,U,U,U,U,U,U,U,U,U,U,UNK,-9,U,U,U,U,U,U,U,U,2,ANC 2C,2C01,11069812,1748.59997558594,3,c144fffdc73e5ce2d2603140ec38da91,23cb9fb433a8733333c9c81a94f6cca7,BusStopPt_8454,,{1FC2A287-DD04-4189-B547-779CAFF61277},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,29574,
