X,Y,Location,Juris,Status,Lat,Long
-111.8257003,33.4149069,EB MAIN ST & FS HIBBERT,Mesa,Active,33.414912,-111.825711
-111.8038351,33.4513318,EB MCKELLIPS RD & FS STAPLEY DR,Mesa,Active,33.451337,-111.803846
-111.8096391,33.39323472,EB SOUTHERN AV & FS SOLOMON,Mesa,Active,33.39324,-111.80965
-111.6885814,33.39380483,EB SOUTHERN AV & FS EAST MALL ENTRANCE,Mesa,Active,33.39381,-111.688592
-111.6926151,33.39378084,EB SOUTHERN AV & FS WEST MALL ENTRANCE,Mesa,Active,33.393786,-111.692626
-111.7793502,33.39347068,EB SOUTHERN AV & FS 24TH ST,Mesa,Active,33.393476,-111.779361
-111.7605981,33.39356587,EB SOUTHERN AV & FS 32ND ST,Mesa,Active,33.393571,-111.760609
-111.7472903,33.39360587,EB SOUTHERN AV & FS 39TH ST,Mesa,Active,33.393611,-111.747301
-111.7142053,33.39371075,EB SOUTHERN AV & FS 54TH ST,Mesa,Active,33.393716,-111.714216
-111.7836063,33.39348576,EB SOUTHERN AV & FS CHESTNUT,Mesa,Active,33.393491,-111.783617
-111.8004613,33.39330068,EB SOUTHERN AV & FS DORAN,Mesa,Active,33.393306,-111.800472
-111.7876024,33.39340176,EB SOUTHERN AV & FS GILBERT RD,Mesa,Active,33.393407,-111.787613
-111.7926403,33.39339178,EB SOUTHERN AV & FS HALL,Mesa,Active,33.393397,-111.792651
-111.7964391,33.3933367,EB SOUTHERN AV & FS HARRIS DR,Mesa,Active,33.393342,-111.79645
-111.8182221,33.39322369,EB SOUTHERN AV & FS HOBSON,Mesa,Active,33.393229,-111.818233
-111.8133481,33.39322467,EB SOUTHERN AV & FS HORNE,Mesa,Active,33.39323,-111.813359
-111.7014453,33.39374672,EB SOUTHERN AV & FS LEISURE WORLD BLVD,Mesa,Active,33.393752,-111.701456
-111.7704694,33.3934369,EB SOUTHERN AV & FS LINDSAY RD,Mesa,Active,33.393442,-111.77048
-111.8223791,33.39313375,EB SOUTHERN AV & FS MESA DR,Mesa,Active,33.393139,-111.82239
-111.7412213,33.39363371,EB SOUTHERN AV & FS NORFOLK,Mesa,Active,33.393639,-111.741232
-111.8262062,33.39322179,EB SOUTHERN AV & FS PASADENA,Mesa,Active,33.393227,-111.826217
-111.8291744,33.39320771,EB SOUTHERN AV & FS PIMA,Mesa,Active,33.393213,-111.829185
-111.7084373,33.39375481,EB SOUTHERN AV & FS SLATER,Mesa,Active,33.39376,-111.708448
-111.8048551,33.39324178,EB SOUTHERN AV & FS STAPLEY DR,Mesa,Active,33.393247,-111.804866
-111.6970372,33.39373268,EB SOUTHERN AV & FS SUPERSTITION SPRING BLVD,Mesa,Active,33.393738,-111.697048
-111.7521452,33.3935599,EB SOUTHERN AV & FS VAL VISTA DR,Mesa,Active,33.393565,-111.752156
-111.7572233,33.39359292,EB SOUTHERN AV & MB VAL VISTA DR HELMS,Mesa,Active,33.393598,-111.757234
-111.7270112,33.39366282,EB SOUTHERN AV & FS ROANOKE,Mesa,Active,33.393668,-111.727022
-111.7664601,33.3935349,EB SOUTHERN AV & NS LOS ALAMOS,Mesa,Active,33.39354,-111.766471
-111.7448582,33.39361269,EB SOUTHERN AV & NS NASSAU,Mesa,Active,33.393618,-111.744869
-111.7231373,33.39367691,EB SOUTHERN AV & NS ST PAUL,Mesa,Active,33.393682,-111.723148
-111.7478603,33.42263387,EB UNIVERSITY DR & FS MAPLE,Mesa,Active,33.422639,-111.747871
-111.7442061,33.42265578,EB UNIVERSITY DR & FS NASSAU,Mesa,Active,33.422661,-111.744217
-111.7399093,33.42264973,EB UNIVERSITY DR & FS HEATHERWOOD,Mesa,Active,33.422655,-111.73992
-111.8178721,33.4222537,EB UNIVERSITY DR & FS OLIVE,Mesa,Active,33.422259,-111.817883
-111.7287894,33.42270183,EB UNIVERSITY DR & NS ROANOKE,Mesa,Active,33.422707,-111.7288
-111.7264373,33.42272572,EB UNIVERSITY DR & FS ROANOKE,Mesa,Active,33.422731,-111.726448
-111.7217062,33.42270766,EB UNIVERSITY DR & FS ST PAUL,Mesa,Active,33.422713,-111.721717
-111.7823522,33.42254189,EB UNIVERSITY DR & FS 22ND PL,Mesa,Active,33.422547,-111.782363
-111.7771393,33.42253971,EB UNIVERSITY DR & FS 25TH ST,Mesa,Active,33.422545,-111.77715
-111.8307212,33.42215388,EB UNIVERSITY DR & FS CENTER ST,Mesa,Active,33.422159,-111.830732
-111.7872864,33.42245479,EB UNIVERSITY DR & FS GILBERT RD,Mesa,Active,33.42246,-111.787297
-111.7358972,33.42264588,EB UNIVERSITY DR & FS GREENFIELD RD,Mesa,Active,33.422651,-111.735908
-111.7930191,33.42246888,EB UNIVERSITY DR & FS HALL ST,Mesa,Active,33.422474,-111.79303
-111.8258212,33.42218364,EB UNIVERSITY DR & FS HIBBERT,Mesa,Active,33.422189,-111.825832
-111.8136211,33.42226975,EB UNIVERSITY DR & FS HORNE,Mesa,Active,33.422275,-111.813632
-111.7968563,33.42240586,EB UNIVERSITY DR & FS HUNT DR,Mesa,Active,33.422411,-111.796867
-111.8005472,33.4223599,EB UNIVERSITY DR & FS LAZONA DR,Mesa,Active,33.422365,-111.800558
-111.7698041,33.42252575,EB UNIVERSITY DR & FS LINDSAY RD,Mesa,Active,33.422531,-111.769815
-111.7657271,33.4225739,EB UNIVERSITY DR & FS LOS ALAMOS,Mesa,Active,33.422579,-111.765738
-111.8222523,33.42222275,EB UNIVERSITY DR & FS MESA DR,Mesa,Active,33.422228,-111.822263
-111.8092901,33.42228779,EB UNIVERSITY DR & FS MILLER ST,Mesa,Active,33.422293,-111.809301
-111.8049552,33.42229991,EB UNIVERSITY DR & FS STAPLEY DR,Mesa,Active,33.422305,-111.804966
-111.7528354,33.42261773,EB UNIVERSITY DR & FS VAL VISTA DR,Mesa,Active,33.422623,-111.752846
-111.7732691,33.42255866,EB UNIVERSITY DR & FS YALE,Mesa,Active,33.422564,-111.77328
-111.7570002,33.42262481,EB UNIVERSITY DR & MB CRESTON VAL VISTA DR,Mesa,Active,33.42263,-111.757011
-111.8332862,33.42147568,EB 3RD PL & FS MACDONALD,Mesa,Active,33.421481,-111.833297
-111.8770571,33.37837676,EB BASELINE RD & FS DOBSON RD,Mesa,Active,33.378382,-111.877068
-111.8560963,33.40747069,EB BROADWAY RD & FS ALMA SCHOOL RD,Mesa,Active,33.407476,-111.856107
-111.8394683,33.40775087,EB BROADWAY RD & FS COUNTRY CLUB DR,Mesa,Active,33.407756,-111.839479
-111.8440493,33.40767365,EB BROADWAY RD & FS DATE,Mesa,Active,33.407679,-111.84406
-111.8736181,33.40739885,EB BROADWAY RD & FS DOBSON RD,Mesa,Active,33.407404,-111.873629
