Facility ID,Name,Full Address,Street Number,Street Direction,Street Name,Street Type,Basketball,Splashpad,Playground,Ramada,Horsehoes,Volleyball,Restroom,Barbecue Grills,Picnic Tables,Lake,Trails,Baseball,Bleachers,Dog Area,Soccer,Disc Golf,Tennis,Pickelball,Raquetball,Exercise Course,NumberofAcres,Type,Park Site Map,Location,City,Latitude,Longitude
PKPK15,Carriage Lane,3140 S Carriage Ln,3140,S,Carriage, Ln,lighted,NO,shaded,"non-reservable, shaded",NO,YES,YES,YES,YES,YES,NO,NO,NO,on-leash,NO,NO,NO,NO,NO,NO,23,Park,,"(33.357702, -111.890752)",Mesa,33.357702,-111.890752
PKPK10,Kleinman,710 S Extension Rd,710,S,Extension,Rd,lighted,NO,YES,"reservable, non-reservable, shaded",NO,"lighted, sand",YES,NO,shaded,NO,walk,"2 lighted, 280 ft",NO,NO,NO,NO,lighted,lighted,NO,NO,24.6,Park,,"(33.401918, -111.850506)",Mesa,33.401918,-111.850506
PKPK48,Countryside ,3130 E Southern,3130,E,Southern,,"lighted, two",NO,shaded,"reservable, non-reservable, shaded",NO,"lighted, beach",YES,YES,YES,NO,"walk, bike","lighted, 60 ft",NO,off-leash,NO,NO,NO,NO,NO,NO,28,Park,http://www.mesaparks.com/home/showdocument?id=6220,"(33.3944188, -111.7625856)",Mesa,33.3944188,-111.7625856
PKPK86,Eagles,828 E Broadway,825,E,Broadway,,NO,NO,YES,"non-reservable, shaded",NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,4 lighted,NO,NO,NO,NO,YES,28.3,Park,,"(33.408244, -111.813699)",Mesa,33.408244,-111.813699
PKPK33,Skyline,655 S Crismon Rd,655,S,Crismon,Rd,lighted,NO,shaded,"reservable, non-reservable, shaded",NO,sand,YES,NO,shaded,NO,NO,"lighted, 4 softball",NO,NO,NO,NO,NO,NO,NO,NO,30,Park,http://www.mesaparks.com/home/showdocument?id=6308,"(33.4023394, -111.6123911)",Mesa,33.4023394,-111.6123911
PKPK7,Park of the Canals,1710 N Horne,1710,N,Horne,,NO,NO,YES,"reservable, non-reservable, shaded",NO,NO,YES,NO,YES,NO,walk,NO,NO,NO,NO,NO,NO,NO,NO,NO,31,Park,http://www.mesaparks.com/home/showdocument?id=6280,"(33.443226, -111.816851)",Mesa,33.443226,-111.816851
PKPK53,Fitch,651 N Center ,651,N,Center,,lighted,NO,YES,"reservable, non-reservable, shaded",NO,NO,YES,NO,YES,NO,NO,4 lighted,NO,NO,NO,NO,NO,NO,"reservable, non-reservable",NO,31,Park,http://www.mesaparks.com/home/showdocument?id=6242,"(33.428764, -111.829657)",Mesa,33.428764,-111.829657
PKPK22,Quail Run,4155 E Virginia St,4155,E,Virginia, St,NO,NO,shaded,"non-reservable, shaded",NO,NO,YES,YES,YES,NO,NO,"lighted, 2 youth softball, 2 youth baseball",YES,off-leash,4 lighted,NO,NO,NO,NO,NO,40,Park,http://www.mesaparks.com/home/showdocument?id=6288,"(33.4782752, -111.7400121)",Mesa,33.4782752,-111.7400121
PKPK6,Hohokam Stadium,1235 N Center,1235,N,Center,,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,y,YES,NO,YES,NO,NO,NO,NO,NO,42.6,Park,http://www.mesaaz.gov/things-to-do/hohokam-stadium,"(33.438626, -111.8302267)",Mesa,33.438626,-111.8302267
PKPK27,Gene Autry,4125 E Mckellips Rd,4125,E,Mckellips, Rd,NO,NO,shaded,"reservable, non-reservable, shaded",YES,"lighted, sand",YES,YES,NO,NO,NO,lighted ,YES,NO,NO,NO,lighted,NO,NO,NO,47,Park,http://www.mesaparks.com/home/showdocument?id=21013,"(33.4507713, -111.7431172)",Mesa,33.4507713,-111.7431172
PKPK82,Desert Arroyo,9320 E McKellips Rd,9320,E,McKellips, Rd,NO,NO,YES,"non-reservable, shaded",NO,NO,NO,NO,NO,NO,"walk, bike",NO,NO,NO,NO,NO,NO,NO,NO,NO,58,Park,,"(33.4536655, -111.6300913)",Mesa,33.4536655,-111.6300913
PKPK76,Riverview,2100 W Rio Salado Parkway,2100,W,Riverview,,NO,YES,shaded,"reservable, non-reservable, shaded",NO,NO,YES,YES,shaded,YES,"walk, bike",NO,NO,NO,YES,NO,NO,NO,NO,NO,137.1,Park,http://www.mesaparks.com/home/showdocument?id=19897,"(33.4310511, -111.8756309)",Mesa,33.4310511,-111.8756309
PKGC1,Dobson Ranch Golf Course,2155 S Dobson Rd,2155,S,Dobson,Rd,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,143.9201217,Golf,,"(33.375213, -111.878155)",Mesa,33.375213,-111.878155
PKPK21,Red Mountain,7745 E Brown Rd,7745,E,Brown, Rd,lighted,NO,shaded,"reservable, non-reservable, shaded",NO,"lighted, concrete",YES,NO,YES,YES,walk,"lighted, 3 baseball, 4 softball",YES,NO,6 lighted,YES,NO,NO,NO,NO,581.7,Park,http://www.mesaparks.com/home/showdocument?id=6298,"(33.434382, -111.669402)",Mesa,33.434382,-111.669402
PKBLD5,Washington Activity Center,44 E 5th St,44,E,5th,St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Recreation,,"(33.424285, -111.830026)",Mesa,33.424285,-111.830026
PKBLD37,Autry Tennis Complex,"4125 E Mckellips Rd, Bldg 1",4125,E,Mckellips,Rd,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Tennis,,"(33.450807, -111.743117)",Mesa,33.450807,-111.743117
PKBLD17,Mesa Amphitheatre,263 N Center,263,N,Center,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Ampheater,,"(33.421027, -111.829542)",Mesa,33.421027,-111.829542
PKBLD75,Eagles Community Center,828 E Broadway,828,E,Broadway,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Recreation,,"(33.408394, -111.813487)",Mesa,33.408394,-111.813487
PKBLD1,Red Mountain Center,7550 E Adobe,7550,E,Adobe,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Recreation,,"(33.731817, -111.667394)",Mesa,33.731817,-111.667394
